,,0
rest,578
rolled,579
room,580
rushed,581
salt,582
same,583
season,584
second,585
seeing,586
seized,587
show,588
signs,589
silent,590
something,591
soon,592
stop,593
strength,594
stumble,595
sun,596
table,597
test,598
though,599
threw,600
tombs,601
treasury,602
trouble,603
tyre,604
village,605
voice,606
walk,607
wanted,608
water,609
widow,610
wish,611
yourselves,612
(that,613
(to,614
.),615
according,616
account,617
across,618
agree,619
alert,620
alphaeus,621
amazement,622
andrew,623
anger,624
anointed,625
apart,626
apostles,627
appointed,628
argued,629
arms,630
arrested,631
arrived,632
ashamed,633
aware,634
awe,635
baptist,636
baptizer,637
bed,638
beforehand,639
beheaded,640
believes,641
beloved,642
bethsaida,643
betrayer,644
birds,645
blasphemy,646
blessing,647
bought,648
bound,649
bowed,650
branches,651
breathed,652
bringing,653
build,654
buildings,655
buy,656
calling,657
capernaum,658
carry,659
casting,660
ceased,661
chains,662
charge,663
childrens,664
cloaks,665
clothed,666
cloud,667
clouds,668
clubs,669
command,670
commits,671
commotion,672
companions,673
compassion,674
condemned,675
crossed,676
crowed,677
crows,678
custom,679
deaf,680
decapolis,681
declared,682
deed,683
defiled,684
demoniac,685
denarii,686
denied,687
deserters,688
die,689
dies,690
disease,691
distressed,692
distributed,693
divorce,694
divorces,695
dogs,696
dug,697
during,698
each,699
easier,700
eloi,701
emperor,702
emperors,703
ends,704
enters,705
everyone,706
far,707
fear,708
feared,709
few,710
fled,711
food,712
foot,713
further,714
gentiles,715
getting,716
giving,717
gods,718
governors,719
grant,720
greater,721
greatest,722
groups,723
guard,724
guards,725
hard,726
hardened,727
hardness,728
having,729
heads,730
hearing,731
help,732
herd,733
herodians,734
hold,735
hometown,736
hosanna,737
humankind,738
hundred,739
iscariot,740
israel,741
jericho,742
joined,743
jordan,744
knelt,745
known,746
lack,747
later,748
leader,749
legion,750
light,751
loaf,752
lost,753
loud,754
loudly,755
makes,756
mans,757
marketplaces,758
marries,759
marry,760
matter,761
men,762
message,763
mocking,764
most,765
mountains,766
named,767
nation,768
nations,769
neighbor,770
none,771
oclock,772
often,773
opened,774
opportunity,775
opposite,776
otherwise,777
overcome,778
owner,779
path,780
perceive,781
perplexed,782
platter,783
point,784
poured,785
powers,786
prayed,787
preparations,788
prepared,789
pressed,790
private,791
privately,792
produce,793
prophet,794
purple,795
putting,796
questioning,797
questions,798
quite,799
raise,800
ready,801
realized,802
recognized,803
refuse,804
regard,805
rejected,806
released,807
remembered,808
reported,809
respect,810
restored,811
restrain,812
resurrection,813
returned,814
rich,815
righteous,816
road,817
rocky,818
root,819
rose,820
salome,821
says,822
scriptures,823
seats,824
secret,825
servant,826
setting,827
shackles,828
sheep,829
shepherd,830
short,831
sidon,832
sighed,833
sight,834
sixty,835
skins,836
small,837
sold,838
sons,839
sower,840
spat,841
spit,842
sprang,843
spread,844
standing,845
stones,846
strike,847
strong,848
struck,849
suddenly,850
surely,851
swords,852
swore,853
synagogues,854
tear,855
terrified,856
thanks,857
therefore,858
thing,859
third,860
thirty,861
thus,862
tied,863
times,864
tongue,865
top,866
towards,867
trial,868
truth,869
turn,870
twice,871
unbelief,872
unleavened,873
unless,874
untying,875
used,876
utterly,877
warming,878
wars,879
wash,880
washing,881
watch,882
watched,883
wealth,884
week,885
weeping,886
white,887
wineskins,888
wishes,889
within,890
woe,891
woke,892
women,893
work,894
worse,895
worth,896
wrong,897
wrote,898
years,899
yeast,900
young,901
yourself,902
zebedee,903
(for,904
(let,905
(she,906
(thus,907
(which,908
-all,909
-do,910
-he,911
-they,912
-this,913
abandon,914
abba,915
abiathar,916
above,917
abraham,918
abundance,919
accept,920
accompanied,921
accompany,922
accomplished,923
accordance,924
accuse,925
accused,926
adjure,927
adulterous,928
adverse,929
afternoon,930
afterward,931
age,932
age).,933
age-houses,934
agitated,935
aha,936
air,937
alabaster,938
alexander,939
alive,940
allow,941
amazing,942
ancestor,943
angry,944
anoint,945
appear,946
appearance,947
approaching,948
argue,949
arimathea,950
arises,951
arose,952
ashore,953
asks,954
assembled,955
attention,956
avarice,957
awake-for,958
bag,959
bandit,960
bandits,961
bank,962
banquet,963
banquets,964
bartholomew,965
bartimaeus,966
basket,967
beaten,968
became,969
becoming,970
beelzebul,971
beg,972
beggar,973
believed,974
belongs,975
below,976
belts,977
besides,978
best,979
bethphage,980
birthday,981
birthpangs,982
blasphemes,983
blasphemies,984
bleach,985
blindfold,986
block,987
blood,988
boanerges,989
boats,990
boldly,991
book,992
booth,993
born,994
bottom,995
bowl,996
branch,997
bronze,998
bruising,999
builders,1000
built,1001
burial,1002
burnt,1003
burst,1004
bush,1005
bushel,1006
buying,1007
caesarea,1008
calls,1009
calm,1010
camel,1011
cananaean,1012
care,1013
cares,1014
carpenter,1015
carried,1016
carrying,1017
casts,1018
caught,1019
cautioned,1020
certain,1021
certainly,1022
certificate,1023
chain,1024
changers,1025
charges,1026
childhood,1027
childs,1028
choke,1029
choked,1030
chose,1031
christ,1032
cities,1033
clean,1034
clearly,1035
coat,1036
cockcrow,1037
cohort,1038
coins,1039
commandments,1040
commands,1041
commit,1042
committed,1043
compare,1044
compelled,1045
condemn,1046
condemnation,1047
confirmed,1048
conspired,1049
consultation,1050
contempt,1051
contributed,1052
contributing,1053
convulsed,1054
convulsing,1055
copper,1056
corban,1057
cornerstone,1058
corpse,1059
costly,1060
councils,1061
courtiers,1062
covenant,1063
created,1064
crowds,1065
crown,1066
crumbs,1067
crush,1068
cry,1069
crying,1070
cum,1071
cups,1072
cure,1073
curse,1074
cursed,1075
curtain,1076
cushion,1077
cutting,1078
cyrene,1079
dalmanutha,1080
danced,1081
dared,1082
darkened,1083
darkness,1084
dashes,1085
dawn,1086
dazzling,1087
deadly,1088
deceit,1089
decide,1090
decision,1091
deeds,1092
deference,1093
defiles,1094
defraud,1095
delight,1096
den,1097
denarius,1098
departed,1099
depth,1100
derided,1101
desert,1102
deserving,1103
desire,1104
desolating,1105
devour,1106
dinner,1107
dipping,1108
disciples-for,1109
disclosed,1110
discussing,1111
diseases,1112
dismissal,1113
dismissed,1114
disputing,1115
distribute,1116
district,1117
divine,1118
doctrines,1119
doorkeeper,1120
doubt,1121
doves,1122
drank,1123
dressed,1124
drew,1125
drive,1126
drowned,1127
dust,1128
dwellings,1129
ear,1130
earnestly,1131
earthquakes,1132
eaten,1133
eleven,1134
else,1135
empty-handed,1136
endure,1137
endured,1138
endures,1139
enemies,1140
enough,1141
entrance,1142
envy,1143
ephphatha,1144
escape,1145
ever,1146
everywhere,1147
expectantly,1148
explained,1149
facing,1150
faint,1151
fair,1152
faithless,1153
fall,1154
falling,1155
family,1156
famines,1157
farewell,1158
farms,1159
farther,1160
fasting,1161
fed,1162
feed,1163
feeding,1164
fellow,1165
felt,1166
female,1167
fence,1168
field,1169
fifties,1170
figs,1171
finally,1172
fine,1173
fingers,1174
flee,1175
flog,1176
flogging,1177
foaming,1178
foams,1179
followers,1180
folly,1181
foods,1182
forecourt,1183
forfeit,1184
forgiveness,1185
forgotten,1186
form,1187
fornication,1188
forsaken,1189
fresh,1190
friends,1191
fringe,1192
front,1193
fulfilled,1194
furnished,1195
gain,1196
galilean,1197
gates,1198
gather,1199
gennesaret,1200
gentile,1201
gerasenes,1202
gethsemane,1203
ghost,1204
gives,1205
glorified,1206
go-the,1207
god)-,1208
golgotha,1209
gospel,1210
grainfields,1211
granted,1212
grass,1213
green,1214
greet,1215
greeted,1216
grieving,1217
grinds,1218
grow,1219
growing,1220
grows,1221
grudge,1222
guest,1223
guilty,1224
hail,1225
half,1226
happen,1227
happening,1228
harm,1229
harvest,1230
hated,1231
headquarters);,1232
heavens,1233
heavy,1234
heir,1235
held,1236
hemorrhage,1237
hemorrhages,1238
herself,1239
hewn,1240
hidden,1241
highest,1242
hillside,1243
homage,1244
homes,1245
honors,1246
houses,1247
housetop,1248
howling,1249
hundreds,1250
hung,1251
hurried,1252
hurt,1253
husband,1254
hymn,1255
hypocrisy,1256
hypocrites,1257
idumea,1258
impediment,1259
important,1260
impossible,1261
increasing,1262
indignant,1263
infants,1264
inherit,1265
inheritance,1266
inscription,1267
instead,1268
insulted,1269
insurrection,1270
intended,1271
intentions,1272
intently,1273
isaac,1274
isaiah,1275
jacob,1276
jairus,1277
jealousy,1278
joy,1279
keeps,1280
kettles,1281
kin,1282
kind,1283
kindness,1284
kings,1285
kiss,1286
kissed,1287
knows,1288
lamb,1289
lame,1290
lamp,1291
lampstand,1292
laughed,1293
leads,1294
leaf,1295
leafy,1296
learn,1297
learned,1298
leased,1299
leisure,1300
lema,1301
leper,1302
lesson,1303
levi,1304
levis,1305
licentiousness,1306
lifted,1307
liked,1308
likewise,1309
lips,1310
